Date,Open,High,Low,Close,Volume
2015-01-02,170.9117,171.3258,169.0898,170.125,121465900
2015-01-05,169.0816,169.2472,166.7462,167.0526,169632600
2015-01-06,167.359,167.8807,164.6841,165.4791,209151400
2015-01-07,166.8042,167.8808,166.357,167.5412,125346700
2015-01-08,168.949,170.7295,168.9324,170.5142,147217800
2015-01-09,170.9283,170.9449,168.535,169.1478,158567300
2015-01-12,169.2803,169.4377,167.2182,167.8228,144396100
2015-01-13,169.0401,170.1664,166.0505,167.3507,214553300
2015-01-14,165.3383,166.5391,164.4439,166.3404,192991100
2015-01-15,166.9781,167.2927,164.7007,164.8166,176613900
2015-01-16,164.6096,167.1354,164.4274,166.9781,211879600
2015-01-20,167.6157,167.8807,165.769,167.3342,130991100
2015-01-21,166.8704,168.6592,166.4067,168.1789,122942700
2015-01-22,168.9325,170.8124,167.5578,170.6799,174356000
2015-01-23,170.4231,170.6798,169.6115,169.744,117516800
2015-01-26,169.5287,170.2326,168.8165,170.1415,92009700
2015-01-27,168.0878,169.0401,167.0692,167.8973,134044600
2015-01-28,169.0815,169.1809,165.5537,165.7441,168514300
2015-01-29,165.9429,167.533,164.5351,167.2762,173585400
2015-01-30,166.1003,167.4253,164.9077,165.1727,197729700
2015-02-02,165.6696,167.3094,163.856,167.2183,163107000
2015-02-03,168.1126,169.6446,167.7399,169.6363,124212900
2015-02-04,168.8745,170.0836,168.535,168.9904,134306700
2015-02-05,169.6529,170.8455,169.5784,170.6964,97953200
2015-02-06,171.0608,171.624,169.7027,170.2244,125672000
2015-02-09,169.5784,170.2989,169.0567,169.4625,87219000
2015-02-10,170.4976,171.5245,169.5039,171.2678,96164200
2015-02-11,171.1022,171.7979,170.4563,171.3672,91087800
2015-02-12,172.1622,173.0732,171.4003,173.0152,97545900
2015-02-13,173.1395,173.7771,172.8827,173.7274,93670400
2015-02-17,173.4127,174.1746,173.1643,174.0007,76968200
2015-02-18,173.6281,174.0918,173.363,174.0173,80652900
2015-02-19,173.421,174.2575,173.2803,173.8931,91462500
2015-02-20,173.479,175.011,172.8579,174.9365,140896400
2015-02-23,174.6881,174.9117,174.3071,174.9117,74411100
2015-02-24,174.8371,175.6073,174.539,175.4086,72472300
2015-02-25,175.2843,175.7647,174.92,175.2595,73061700
2015-02-26,175.1684,175.3257,174.4479,175.0525,72697900
