baseline,total_return,mean_daily_return,volatility,sharpe_annualized,max_drawdown,win_rate,buy_pct,hold_pct,sell_pct,position_changes,n_days
buy_and_hold,14.17,0.0283,0.862,0.522,-14.16,50.8,100.0,0.0,0.0,0,500
volatility_timing,11.09,0.0222,0.7194,0.489,-13.96,44.8,88.0,12.0,0.0,12,500
contrarian,9.64,0.0193,0.7033,0.435,-16.01,20.0,38.2,61.8,0.0,66,500
momentum,4.53,0.0091,0.4986,0.288,-9.5,30.8,61.8,38.2,0.0,66,500
rsi_mean_reversion,4.09,0.0082,0.4158,0.313,-5.24,10.6,4.2,79.4,16.4,44,500
mean_reversion,3.59,0.0072,0.5097,0.224,-8.57,9.2,8.2,82.2,9.6,74,500
rsi_contrarian,1.85,0.0037,0.636,0.092,-10.19,25.2,17.0,49.6,33.4,107,500
momentum_vol_combined,1.22,0.0024,0.4682,0.083,-9.06,29.0,58.2,41.8,0.0,60,500
random_mean (n=30),-0.7,,21.31,,,,33.3,33.3,33.3,,
LLM_STRATEGY,-3.82,-0.0053,0.7018,-0.121,-21.59,32.2,,,,,
